,description,title,personalData
10,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1756.0377', 'year': '2010', 'ager': '5', 'direl': '3', 'ethnic1R': '1', 'gender': '1', 'hincome': '2', 'hispanic': '2', 'injury': '0', 'locationr': '1', 'marital2': '2', 'msa': '3', 'newcrime': '1', 'newoff': '4', 'notify': '1', 'popsize': '1', 'race1R': '1', 'region': '2', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
11,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '2268.46', 'year': '2010', 'ager': '2', 'direl': '3', 'ethnic1R': '1', 'gender': '1', 'hincome': '5', 'hispanic': '2', 'injury': '0', 'locationr': '1', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '1', 'popsize': '1', 'race1R': '1', 'region': '1', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
12,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1958.6484', 'year': '2010', 'ager': '1', 'direl': '3', 'ethnic1R': '1', 'gender': '2', 'hincome': '5', 'hispanic': '2', 'injury': '1', 'locationr': '2', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '3', 'notify': '2', 'popsize': '1', 'race1R': '1', 'region': '1', 'seriousviolent': '1', 'treatment': '1', 'vicservices': '2', 'weapcat': '3', 'weapon': '1'}"
13,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1958.6484', 'year': '2010', 'ager': '1', 'direl': '3', 'ethnic1R': '1', 'gender': '2', 'hincome': '5', 'hispanic': '2', 'injury': '0', 'locationr': '2', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '1', 'race1R': '1', 'region': '1', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
14,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '4487.992', 'year': '2010', 'ager': '3', 'direl': '4', 'ethnic1R': '2', 'gender': '1', 'hincome': '2', 'hispanic': '2', 'injury': '0', 'locationr': '2', 'marital2': '1', 'msa': '1', 'newcrime': '1', 'newoff': '4', 'notify': '1', 'popsize': '4', 'race1R': '2', 'region': '3', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
15,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1636.5206', 'year': '2010', 'ager': '4', 'direl': '4', 'ethnic1R': '1', 'gender': '1', 'hincome': '4', 'hispanic': '2', 'injury': '0', 'locationr': '3', 'marital2': '2', 'msa': '3', 'newcrime': '1', 'newoff': '4', 'notify': '1', 'popsize': '0', 'race1R': '1', 'region': '3', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
16,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1566.2572', 'year': '2010', 'ager': '5', 'direl': '4', 'ethnic1R': '3', 'gender': '1', 'hincome': '4', 'hispanic': '2', 'injury': '0', 'locationr': '1', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '1', 'popsize': '1', 'race1R': '3', 'region': '1', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '5', 'weapon': '3'}"
17,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1457.959', 'year': '2010', 'ager': '5', 'direl': '4', 'ethnic1R': '1', 'gender': '2', 'hincome': '6', 'hispanic': '2', 'injury': '0', 'locationr': '3', 'marital2': '2', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '1', 'popsize': '0', 'race1R': '1', 'region': '3', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
18,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '4837.137', 'year': '2010', 'ager': '3', 'direl': '5', 'ethnic1R': '1', 'gender': '1', 'hincome': '7', 'hispanic': '2', 'injury': '0', 'locationr': '3', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '2', 'notify': '2', 'popsize': '0', 'race1R': '1', 'region': '3', 'seriousviolent': '1', 'treatment': '0', 'vicservices': '2', 'weapcat': '5', 'weapon': '3'}"
19,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '4099.2744', 'year': '2010', 'ager': '2', 'direl': '3', 'ethnic1R': '1', 'gender': '1', 'hincome': '88', 'hispanic': '2', 'injury': '1', 'locationr': '3', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '1', 'race1R': '1', 'region': '3', 'seriousviolent': '2', 'treatment': '1', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
20,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1888.6344', 'year': '2010', 'ager': '7', 'direl': '4', 'ethnic1R': '2', 'gender': '1', 'hincome': '1', 'hispanic': '2', 'injury': '1', 'locationr': '3', 'marital2': '4', 'msa': '1', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '5', 'race1R': '2', 'region': '3', 'seriousviolent': '2', 'treatment': '1', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
21,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '4500.374', 'year': '2010', 'ager': '6', 'direl': '4', 'ethnic1R': '4', 'gender': '1', 'hincome': '7', 'hispanic': '1', 'injury': '0', 'locationr': '3', 'marital2': '1', 'msa': '1', 'newcrime': '2', 'newoff': '5', 'notify': '1', 'popsize': '5', 'race1R': '1', 'region': '4', 'seriousviolent': '3', 'treatment': '0', 'vicservices': '2', 'weapcat': '5', 'weapon': '3'}"
22,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '2293.8882', 'year': '2010', 'ager': '2', 'direl': '4', 'ethnic1R': '4', 'gender': '1', 'hincome': '88', 'hispanic': '1', 'injury': '1', 'locationr': '1', 'marital2': '1', 'msa': '1', 'newcrime': '1', 'newoff': '3', 'notify': '1', 'popsize': '5', 'race1R': '1', 'region': '4', 'seriousviolent': '1', 'treatment': '1', 'vicservices': '2', 'weapcat': '3', 'weapon': '1'}"
23,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '4257.4287', 'year': '2010', 'ager': '7', 'direl': '3', 'ethnic1R': '1', 'gender': '1', 'hincome': '7', 'hispanic': '2', 'injury': '0', 'locationr': '3', 'marital2': '4', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '1', 'race1R': '1', 'region': '1', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
24,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '4960.294', 'year': '2010', 'ager': '3', 'direl': '4', 'ethnic1R': '2', 'gender': '2', 'hincome': '88', 'hispanic': '2', 'injury': '1', 'locationr': '1', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '2', 'notify': '1', 'popsize': '2', 'race1R': '2', 'region': '4', 'seriousviolent': '1', 'treatment': '2', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
25,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '4960.294', 'year': '2010', 'ager': '3', 'direl': '4', 'ethnic1R': '2', 'gender': '2', 'hincome': '88', 'hispanic': '2', 'injury': '0', 'locationr': '1', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '2', 'race1R': '2', 'region': '4', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
26,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '3499.0522', 'year': '2010', 'ager': '6', 'direl': '4', 'ethnic1R': '4', 'gender': '1', 'hincome': '1', 'hispanic': '1', 'injury': '1', 'locationr': '1', 'marital2': '4', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '1', 'popsize': '1', 'race1R': '1', 'region': '4', 'seriousviolent': '2', 'treatment': '1', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
27,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1899.9246', 'year': '2010', 'ager': '7', 'direl': '2', 'ethnic1R': '3', 'gender': '1', 'hincome': '5', 'hispanic': '2', 'injury': '0', 'locationr': '1', 'marital2': '2', 'msa': '1', 'newcrime': '1', 'newoff': '2', 'notify': '2', 'popsize': '3', 'race1R': '3', 'region': '4', 'seriousviolent': '1', 'treatment': '0', 'vicservices': '2', 'weapcat': '1', 'weapon': '1'}"
28,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '1899.9246', 'year': '2010', 'ager': '7', 'direl': '2', 'ethnic1R': '3', 'gender': '1', 'hincome': '5', 'hispanic': '2', 'injury': '0', 'locationr': '1', 'marital2': '2', 'msa': '1', 'newcrime': '1', 'newoff': '3', 'notify': '1', 'popsize': '3', 'race1R': '3', 'region': '4', 'seriousviolent': '1', 'treatment': '0', 'vicservices': '1', 'weapcat': '1', 'weapon': '1'}"
29,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '3717.0264', 'year': '2010', 'ager': '5', 'direl': '3', 'ethnic1R': '1', 'gender': '1', 'hincome': '3', 'hispanic': '2', 'injury': '0', 'locationr': '3', 'marital2': '1', 'msa': '1', 'newcrime': '1', 'newoff': '3', 'notify': '2', 'popsize': '3', 'race1R': '1', 'region': '3', 'seriousviolent': '1', 'treatment': '0', 'vicservices': '2', 'weapcat': '1', 'weapon': '1'}"
30,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '3567.0005', 'year': '2010', 'ager': '5', 'direl': '4', 'ethnic1R': '1', 'gender': '2', 'hincome': '6', 'hispanic': '2', 'injury': '0', 'locationr': '1', 'marital2': '2', 'msa': '2', 'newcrime': '1', 'newoff': '4', 'notify': '2', 'popsize': '0', 'race1R': '1', 'region': '3', 'seriousviolent': '2', 'treatment': '0', 'vicservices': '2', 'weapcat': '0', 'weapon': '2'}"
31,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '4238.0107', 'year': '2010', 'ager': '1', 'direl': '3', 'ethnic1R': '1', 'gender': '1', 'hincome': '6', 'hispanic': '2', 'injury': '1', 'locationr': '4', 'marital2': '1', 'msa': '3', 'newcrime': '1', 'newoff': '3', 'notify': '1', 'popsize': '0', 'race1R': '1', 'region': '3', 'seriousviolent': '1', 'treatment': '1', 'vicservices': '2', 'weapcat': '3', 'weapon': '1'}"
32,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '4504.2905', 'year': '2010', 'ager': '5', 'direl': '4', 'ethnic1R': '4', 'gender': '1', 'hincome': '2', 'hispanic': '1', 'injury': '1', 'locationr': '3', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '2', 'notify': '1', 'popsize': '1', 'race1R': '1', 'region': '3', 'seriousviolent': '1', 'treatment': '1', 'vicservices': '2', 'weapcat': '1', 'weapon': '1'}"
33,"The National Crime Victimization Survey (NCVS) RESTful API is a web service that provides data on violent and property victimization by select victim, household, and incident characteristics. The NCVS is the nation's primary source of information on criminal victimization. It is an annual data collection conducted by the U.S. Census Bureau for the Bureau of Justice Statistics. The NCVS collects information from a nationally representative sample of U.S. households on nonfatal crimes, reported and not reported to the police, against persons age 12 or older.",National Crime Victimization Survey (NCVS) API,"{'weight': '3258.0771', 'year': '2010', 'ager': '5', 'direl': '5', 'ethnic1R': '1', 'gender': '2', 'hincome': '3', 'hispanic': '2', 'injury': '0', 'locationr': '3', 'marital2': '1', 'msa': '2', 'newcrime': '1', 'newoff': '3', 'notify': '1', 'popsize': '1', 'race1R': '1', 'region': '3', 'seriousviolent': '1', 'treatment': '0', 'vicservices': '2', 'weapcat': '2', 'weapon': '1'}"
